  kategorie   |       art        |     gruppierung     |               sparte               |                                 form_name                                 
--------------+------------------+---------------------+------------------------------------+---------------------------------------------------------------------------
 Finanzkonten | Bank             | Bankkonto           | Girokonto                          | contract-savings-realestate-buildingsavings
 Finanzkonten | Bank             | Bankkonto           | Sparkonto                          | contract-savings-savings-savingscontract
 Finanzkonten | Kredit           | Kreditkarte         | Charge                             | contract-savings-savings-overnightcontract
 Finanzkonten | Kredit           | Kreditkarte         | Debit                              | contract-creditcard-credit-creditcard
 Finanzkonten | Kredit           | Kreditkarte         | Online Virtuell                    | contract-propertymanagement-propertymanagement-propertymanagementcontract
 Finanzkonten | Kredit           | Kreditkarte         | Prepaid                            | contract-creditcard-credit-creditcardcontract
 Finanzkonten | Kredit           | Kreditkarte         | Revolving                          | contract-savings-savings-depositcontract
 Finanzkonten | Kredit           | Kreditkarte         | Samsung                            | contract-employment-official-work-contract
 Finanzkonten | Systeme          | Bezahlsysteme       | Apple Pay                          | contract-employment-official-mini-job
 Finanzkonten | Systeme          | Bezahlsysteme       | Google Pay                         | contract-employment-official-part-time
 Finanzkonten | Systeme          | Bezahlsysteme       | Klarna                             | contract-employment-public-service-fulltime
 Finanzkonten | Systeme          | Bezahlsysteme       | Paypal                             | contract-rentalmanagement-rentalmanagement-rentalmanagementcontract
 Finanzkonten | Systeme          | Bezahlsysteme       | Skrill                             | contract-employment-public-service-mini-job
 Finanzkonten | Systeme          | Bezahlsysteme       | Stripe                             | contract-employment-public-service-part-time
 Immobilien   | mit Bebauung     | Bewirtschaftung     | Ackerland                          | contract-service-gardener-gardenercontract2
 Immobilien   | mit Bebauung     | Bewirtschaftung     | Forst                              | contract-employment-employee-work-contract
 Immobilien   | mit Bebauung     | Bewirtschaftung     | Frucht                             | contract-employment-official-fulltime
 Immobilien   | mit Bebauung     | Bewirtschaftung     | Weide                              | contract-employment-official-internship
 Immobilien   | mit Bebauung     | Garten              | Schrebergarten                     | contract-service-franchise-franchisecontract
 Immobilien   | mit Bebauung     | Gewerbehaus         | Gewerbeeinheit                     | contract-service-broker-realestateagent
 Immobilien   | mit Bebauung     | Gewerbehaus         | Gewerbehaus                        | contract-service-broker-realestateagent
 Immobilien   | mit Bebauung     | Halle               | Halle                              | contract-service-broker-realestateagent
 Immobilien   | mit Bebauung     | Parkfläche          | Carport                            | contract-service-security-securitycontract
 Immobilien   | mit Bebauung     | Parkfläche          | Garage                             | contract-service-software-softwarecontract
 Immobilien   | mit Bebauung     | Parkfläche          | Parkhaus                           | contract-tax-realestate-realestatetaxcontract
 Immobilien   | mit Bebauung     | Parkfläche          | Parkplatz                          | contract-telecommunication-telecommunication-telecommunicationcontract
 Immobilien   | mit Bebauung     | Wohn + Gewerbehaus  | Wohnungen & Gewerbe                | contract-service-broker-realestateagent
 Immobilien   | mit Bebauung     | Wohnhaus            | Doppelhaushälfte                   | contract-service-broker-realestateagent
 Immobilien   | mit Bebauung     | Wohnhaus            | Einfamilienhaus                    | contract-service-broker-realestateagent
 Immobilien   | mit Bebauung     | Wohnhaus            | Ferienhaus                         | contract-service-broker-realestateagent
 Immobilien   | mit Bebauung     | Wohnhaus            | Mehrfamilienhaus                   | contract-service-broker-realestateagent
 Immobilien   | mit Bebauung     | Wohnhaus            | Pflegeeinrichtung                  | contract-service-broker-realestateagent
 Immobilien   | mit Bebauung     | Wohnhaus            | Reihenendhaus                      | contract-service-broker-realestateagent
 Immobilien   | mit Bebauung     | Wohnhaus            | Reihenmittelhaus                   | contract-service-broker-realestateagent
 Immobilien   | mit Bebauung     | Wohnhaus            | Zweifamilienhaus                   | contract-service-broker-realestateagent
 Immobilien   | ohne Bebauung    | Grund               | Bebauungsgrundstück                | contract-service-maintenance-maintenancecontract
 Immobilien   | ohne Bebauung    | Grund               | Wiese                              | contract-service-service-servicecontract
 Kontakte     | Kontakte         | Kontakt             | Einzelkontakt                      | contract-service-distribution-distributioncontract
 Kontakte     | Kontakte         | Kontakt             | Kontaktgruppe                      | contract-service-consulting-consultingcontract
 Mobilität    | Boot             | Hybrid              | Motorsegler                        | contract-insurance-automobile-automobilecontract
 Mobilität    | Boot             | Motorbetrieben      | Jollenkreuzer                      | contract-insurance-automobile-automobilecontract
 Mobilität    | Boot             | Motorbetrieben      | Motorboot                          | contract-insurance-automobile-automobilecontract
 Mobilität    | Boot             | Motorbetrieben      | Sportboot                          | contract-insurance-automobile-automobilecontract
 Mobilität    | Boot             | Motorbetrieben      | Yacht                              | contract-insurance-automobile-automobilecontract
 Mobilität    | Boot             | Segeln              | Segelboot                          | contract-insurance-automobile-automobilecontract
 Mobilität    | Boot             | Segeln              | Segelyacht                         | contract-insurance-automobile-automobilecontract
 Mobilität    | Fahrrad          | Bike                | City                               | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | Cross                              | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | Dreirad                            | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | Falt                               | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | Gravel                             | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | Lasten                             | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | Lifestyle                          | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | Mountainbike                       | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | Rennrad                            | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | Speed                              | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | SUV                                | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | Trekking                           | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | Bike                | XXL                                | contract-employment-publicservice-internship
 Mobilität    | Fahrrad          | E-Bike              | City                               | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | Cross                              | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | Dreirad                            | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | Falt                               | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | Gravel                             | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | Lasten                             | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | Lifestyle                          | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | Mountainbike                       | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | Rennrad                            | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | Speed                              | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | SUV                                | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | Trekking                           | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | E-Bike              | XXL                                | contract-energy-energy-energycontract2
 Mobilität    | Fahrrad          | Pedelec             | City                               | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | Cross                              | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | Dreirad                            | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | Falt                               | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | Gravel                             | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | Lasten                             | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | Lifestyle                          | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | Mountainbike                       | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | Rennrad                            | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | Speed                              | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | SUV                                | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | Trekking                           | contract-loan-loan-loancontract
 Mobilität    | Fahrrad          | Pedelec             | XXL                                | contract-loan-loan-loancontract
 Mobilität    | Landwirtschaft   | Traktor             | B                                  | contract-insurance-automobile-automobilecontract
 Mobilität    | Landwirtschaft   | Traktor             | C                                  | contract-insurance-automobile-automobilecontract
 Mobilität    | Landwirtschaft   | Traktor             | Träker                             | contract-insurance-automobile-automobilecontract
 Mobilität    | Nutzfahrzeug     | Anhänger            | A                                  | contract-insurance-automobile-automobilecontract
 Mobilität    | Nutzfahrzeug     | Anhänger            | B                                  | contract-insurance-automobile-automobilecontract
 Mobilität    | Nutzfahrzeug     | Anhänger            | C                                  | contract-insurance-automobile-automobilecontract
 Mobilität    | Nutzfahrzeug     | Kasten              | A                                  | contract-insurance-automobile-automobilecontract
 Mobilität    | Nutzfahrzeug     | Kasten              | B                                  | contract-insurance-automobile-automobilecontract
 Mobilität    | Nutzfahrzeug     | Kasten              | C                                  | contract-insurance-automobile-automobilecontract
 Mobilität    | Nutzfahrzeug     | Wohnwagen           | Familien                           | contract-lease-lease-leasecontract
 Mobilität    | Nutzfahrzeug     | Wohnwagen           | Luxus                              | contract-lease-lease-leasecontract
 Mobilität    | Nutzfahrzeug     | Wohnwagen           | Sport                              | contract-lease-lease-leasecontract
 Mobilität    | Nutzfahrzeug     | Wohnwagen           | Zelt                               | contract-lease-lease-leasecontract
 Mobilität    | Nutzfahrzeug     | Wohnwagen           | Zwei-Personen                      | contract-lease-lease-leasecontract
 Mobilität    | Personenfahrzeug | Auto                | Cabrio                             | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Coupé                              | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | CUV                                | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Geländewagen                       | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Kleinbus                           | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Kleintransporter                   | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Kleinwagen                         | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Kombi                              | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Limousine                          | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Minivan                            | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Pickup                             | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Roadstar                           | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | SUV                                | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Transporter                        | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Auto                | Van                                | contract-employment-public-service-work-contract
 Mobilität    | Personenfahrzeug | Motorrad            | Chopper                            | contract-media-media-mediacontract
 Mobilität    | Personenfahrzeug | Motorrad            | Cruiser                            | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Motorrad            | Dirt Bike                          | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Motorrad            | Motocross                          | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Motorrad            | Naked                              | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Motorrad            | Srambler                           | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Motorrad            | Streetfighter                      | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Motorrad            | Stuntbike                          | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Motorrad            | Trial                              | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Quad                | 4x4                                | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Quad                | C                                  | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Quad                | Elektro                            | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Quad                | Kinder                             | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Quad                | Offroad                            | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Quad                | Pocket                             | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Quad                | Renn                               | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Quad                | Road                               | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Quad                | Side by Side                       | contract-insurance-automobile-automobilecontract
 Mobilität    | Personenfahrzeug | Wohnmobil           | mit Alkoven                        | contract-loan-realestate-annuityloan
 Mobilität    | Personenfahrzeug | Wohnmobil           | teilintegriert                     | contract-loan-realestate-annuityloan
 Mobilität    | Personenfahrzeug | Wohnmobil           | vollintegriert                     | contract-loan-realestate-annuityloan
 Verträge     | Arbeitsvertrag   | Angestellter        | Aufhebungsvertrag                  | contract-employment-employee-terminationcontract
 Verträge     | Arbeitsvertrag   | Angestellter        | Aushilfe                           | contract-employment-employee-mini-job
 Verträge     | Arbeitsvertrag   | Angestellter        | Mini                               | contract-employment-employee-mini-job
 Verträge     | Arbeitsvertrag   | Angestellter        | Praktikumsvertrag                  | contract-employment-employee-internship
 Verträge     | Arbeitsvertrag   | Angestellter        | Teilzeit                           | contract-employment-employee-part-time
 Verträge     | Arbeitsvertrag   | Angestellter        | Vollzeit                           | contract-employment-employee-fulltime
 Verträge     | Arbeitsvertrag   | Angestellter        | Werkvertrag                        | contract-employment-employment-employmentcontract
 Verträge     | Arbeitsvertrag   | Beamter             | Aufhebungsvertrag                  | contract-employment-employee-terminationcontract
 Verträge     | Arbeitsvertrag   | Beamter             | Aushilfe                           | contract-employment-employee-mini-job
