 category_id | category_name | subcategory_id | subcategory_name | subcategorygroup_id | subcategorygroup_name | grouptype_id |           grouptype_name           |                                 form_name                                 |                       translation_key                        
-------------+---------------+----------------+------------------+---------------------+-----------------------+--------------+------------------------------------+---------------------------------------------------------------------------+--------------------------------------------------------------
           1 | Verträge      |              1 | Arbeitsvertrag   |                   1 | Angestellter          |            3 | Mini                               | contract-employment-employee-mini-job                                     | jaynaApp.contract.group-type.mini-job
           1 | Verträge      |              1 | Arbeitsvertrag   |                   1 | Angestellter          |            4 | Teilzeit                           | contract-employment-employee-part-time                                    | jaynaApp.contract.group-type.half-time
           1 | Verträge      |              1 | Arbeitsvertrag   |                   1 | Angestellter          |            5 | Vollzeit                           | contract-employment-employee-fulltime                                     | jaynaApp.contract.group-type.full-time
           1 | Verträge      |              1 | Arbeitsvertrag   |                   1 | Angestellter          |            6 | Aushilfe                           | contract-employment-employee-mini-job                                     | jaynaApp.contract.group-type.help
           1 | Verträge      |              1 | Arbeitsvertrag   |                   1 | Angestellter          |            7 | Praktikumsvertrag                  | contract-employment-employee-internship                                   | jaynaApp.contract.group-type.internship
           1 | Verträge      |              1 | Arbeitsvertrag   |                   1 | Angestellter          |            8 | Aufhebungsvertrag                  | employment-contract                                                       | jaynaApp.contract.group-type.termination-agreement
           1 | Verträge      |              1 | Arbeitsvertrag   |                   1 | Angestellter          |            9 | Werkvertrag                        | contract-employment-employment-employmentcontract                         | jaynaApp.contract.group-type.work-contract
           1 | Verträge      |              1 | Arbeitsvertrag   |                   2 | öffentlicher Dienst   |           80 | Mini                               | contract-employment-employee-mini-job                                     | jaynaApp.contract.group-type.mini-job
           1 | Verträge      |              1 | Arbeitsvertrag   |                   2 | öffentlicher Dienst   |           81 | Teilzeit                           | contract-employment-employee-part-time                                    | jaynaApp.contract.group-type.half-time
           1 | Verträge      |              1 | Arbeitsvertrag   |                   2 | öffentlicher Dienst   |           82 | Vollzeit                           | contract-employment-employee-fulltime                                     | jaynaApp.contract.group-type.full-time
           1 | Verträge      |              1 | Arbeitsvertrag   |                   2 | öffentlicher Dienst   |           83 | Aushilfe                           | contract-employment-employee-mini-job                                     | jaynaApp.contract.group-type.help
           1 | Verträge      |              1 | Arbeitsvertrag   |                   2 | öffentlicher Dienst   |           84 | Praktikumsvertrag                  | contract-employment-employee-internship                                   | jaynaApp.contract.group-type.internship
           1 | Verträge      |              1 | Arbeitsvertrag   |                   2 | öffentlicher Dienst   |           85 | Aufhebungsvertrag                  | employment-contract                                                       | jaynaApp.contract.group-type.termination-agreement
           1 | Verträge      |              1 | Arbeitsvertrag   |                   2 | öffentlicher Dienst   |           86 | Werkvertrag                        | contract-employment-employment-employmentcontract                         | jaynaApp.contract.group-type.work-contract
           1 | Verträge      |              1 | Arbeitsvertrag   |                   3 | Beamter               |           10 | Mini                               | contract-employment-employee-mini-job                                     | jaynaApp.contract.group-type.mini-job
           1 | Verträge      |              1 | Arbeitsvertrag   |                   3 | Beamter               |           11 | Teilzeit                           | contract-employment-employee-part-time                                    | jaynaApp.contract.group-type.half-time
