Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Mobilität","Personenfahrzeug","Quad","4x4","mobility","passenger_vehicle","quad","quad_4x4","quad","mobility-passenger_vehicle-quad-quad_4x4"
"Mobilität","Nutzfahrzeug","Anhänger","A","mobility","commercial_vehicle","trailer","a","trailer","mobility-commercial_vehicle-trailer-a"
"Mobilität","Nutzfahrzeug","Kasten","A","mobility","commercial_vehicle","box","boxvan","boxvan","mobility-commercial_vehicle-box-boxvan"
"Verträge","Darlehen","Immobilie","Abrufdarlehen","contract","loan","realestate","call_loan","contract-loan-credit-creditcontract","contract-loan-realestate-call_loan"
"Immobilien","mit Bebauung","Bewirtschaftung","Ackerland","realestate","with_development","farmland","farmland","farmland","realestate-with_development-farmland-farmland"
"Verträge","Darlehen","Immobilie","Annuitätendarlehen","contract","loan","realestate","annuity_loan","contract-loan-realestate-annuityloan","contract-loan-realestate-annuity_loan"
"Finanzkonten","Systeme","Bezahlsysteme","Apple Pay","financeaccount","systems","payment_systems","apple_pay","contract-creditcard-credit-creditcard","financeaccount-systems-payment_systems-apple_pay"
"Verträge","Arbeitsvertrag","Angestellter","Aufhebungsvertrag","contract","employment_contract","employee","termination_agreement","contract-employment-employee-terminationAgreement","contract-employment_contract-employee-termination_agreement"
"Verträge","Arbeitsvertrag","Beamter","Aufhebungsvertrag","contract","employment_contract","official","termination_agreement","contract-employment-employee-terminationAgreement","contract-employment_contract-official-termination_agreement"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aufhebungsvertrag","contract","employment_contract","public_service","termination_agreement","contract-employment-employee-terminationAgreement","contract-employment_contract-public_service-termination_agreement"
"Verträge","Dienstleistung","Wartung","Aufzug","contract","service","maintenance","elevator","contract-service-maintenance-maintenancecontract","contract-service-maintenance-elevator"
"Verträge","Arbeitsvertrag","Beamter","Aushilfe","contract","employment_contract","official","help","employment-contract","contract-employment_contract-official-help"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aushilfe","contract","employment_contract","public_service","help","employment-contract","contract-employment_contract-public_service-help"
"Verträge","Arbeitsvertrag","Angestellter","Aushilfe","contract","employment_contract","employee","help","employment-contract","contract-employment_contract-employee-help"
"Verträge","Versicherung","Kranken","Ausland","contract","insurance","health","abroad","contract-insurance-inthealth-inthealthcontract","contract-insurance-health-abroad"
"Verträge","Versicherung","Kranken","Auslandsreise","contract","insurance","health","foreign_travel","contract-insurance-travel-travelcontract","contract-insurance-health-foreign_travel"
"Verträge","Mietvertrag","KFZ","Auto","contract","rental_contract","car","car","contract-lease-lease-leasecontract","contract-rental_contract-car-car"
"Verträge","Leasing","KFZ","Auto","contract","leasing","car","car","leasing","contract-leasing-car-car"
"Verträge","Kaufvertrag","KFZ","Auto","contract","purchase_contract","car","car","contract-sale-sale-salecontract","contract-purchase_contract-car-car"
"Verträge","Kredit","KFZ","Auto","contract","credit","car","car","contract-loan-credit-creditcontract","contract-credit-car-car"
"Verträge","Medien","Mobilfunk","Autotelefon","contract","media","cellular","car_phone","contract-media-media-mediacontract","contract-media-cellular-car_phone"
