Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Immobilien","mit Bebauung","Bewirtschaftung","Ackerland","realestate","with-development","farmland","farmland","farmland","realestate-with-development-farmland-farmland"
"Immobilien","mit Bebauung","Bewirtschaftung","Forst","realestate","with-development","farmland","forest","forest","realestate-with-development-farmland-forest"
"Immobilien","mit Bebauung","Bewirtschaftung","Frucht","realestate","with-development","farmland","fruit","fruit","realestate-with-development-farmland-fruit"
"Immobilien","mit Bebauung","Bewirtschaftung","Weide","realestate","with-development","farmland","pasture","pasture","realestate-with-development-farmland-pasture"
"Immobilien","mit Bebauung","Garten","Schrebergarten","realestate","with-development","garden","allotment-garden","allotment-garden","realestate-with-development-garden-allotment-garden"
"Immobilien","mit Bebauung","Gewerbehaus","Gewerbeeinheit","realestate","with-development","commercial-building","commercial-unit","commercial-residential-property","realestate-with-development-commercial-building-commercial-unit"
"Immobilien","mit Bebauung","Gewerbehaus","Gewerbehaus","realestate","with-development","commercial-building","commercial-building","commercial-residential-property","realestate-with-development-commercial-building-commercial-building"
"Immobilien","mit Bebauung","Halle","Halle","realestate","with-development","hall","hall","commercial-residential-property","realestate-with-development-hall-hall"
"Immobilien","mit Bebauung","Parkfläche","Carport","realestate","with-development","parking-space","carport","carport","realestate-with-development-parking-space-carport"
"Immobilien","mit Bebauung","Parkfläche","Garage","realestate","with-development","parking-space","garage","garage","realestate-with-development-parking-space-garage"
"Immobilien","mit Bebauung","Parkfläche","Parkhaus","realestate","with-development","parking-space","parking-house","parking-house","realestate-with-development-parking-space-parking-house"
"Immobilien","mit Bebauung","Parkfläche","Parkplatz","realestate","with-development","parking-space","parking-space","parking-space","realestate-with-development-parking-space-parking-space"
"Immobilien","mit Bebauung","Wohn + Gewerbehaus","Wohnungen & Gewerbe","realestate","with-development","commercial-residential-building","apartments-commercial-mix","commercial-residential-property","realestate-with-development-commercial-residential-building-apartments-commercial-mix"
"Immobilien","mit Bebauung","Wohnhaus","Doppelhaushälfte","realestate","with-development","residential-building","semit-detached-house","commercial-residential-property","realestate-with-development-residential-building-semit-detached-house"
"Immobilien","mit Bebauung","Wohnhaus","Einfamilienhaus","realestate","with-development","residential-building","detached-house","commercial-residential-property","realestate-with-development-residential-building-detached-house"
"Immobilien","mit Bebauung","Wohnhaus","Ferienhaus","realestate","with-development","residential-building","vacation-house","commercial-residential-property","realestate-with-development-residential-building-vacation-house"
"Immobilien","mit Bebauung","Wohnhaus","Mehrfamilienhaus","realestate","with-development","residential-building","apartment-building","commercial-residential-property","realestate-with-development-residential-building-apartment-building"
"Immobilien","mit Bebauung","Wohnhaus","Pflegeeinrichtung","realestate","with-development","residential-building","care-facility","commercial-residential-property","realestate-with-development-residential-building-care-facility"
"Immobilien","mit Bebauung","Wohnhaus","Reihenendhaus","realestate","with-development","residential-building","terraced-end-house","commercial-residential-property","realestate-with-development-residential-building-terraced-end-house"
"Immobilien","mit Bebauung","Wohnhaus","Reihenmittelhaus","realestate","with-development","residential-building","terraced-mid-house","commercial-residential-property","realestate-with-development-residential-building-terraced-mid-house"
"Immobilien","mit Bebauung","Wohnhaus","Zweifamilienhaus","realestate","with-development","residential-building","two-family-house","commercial-residential-property","realestate-with-development-residential-building-two-family-house"
"Immobilien","ohne Bebauung","Grund","Bebauungsgrundstück","realestate","without-development","ground","building-plot","building-plot","realestate-without-development-ground-building-plot"
"Immobilien","ohne Bebauung","Grund","Wiese","realestate","without-development","ground","meadow","meadow","realestate-without-development-ground-meadow"
"Kontakte","Kontakte","Kontakt","Einzelkontakt","contact","contact","contact","single-contact","single-contact","contact-contact-contact-single-contact"
"Kontakte","Kontakte","Kontakt","Kontaktgruppe","contact","contact","contact","contact-group","contact-group","contact-contact-contact-contact-group"
"Finanzkonten","Bank","Bankkonto","Girokonto","financeaccount","bank","bank-account","checking-account","checking-account","financeaccount-bank-bank-account-checking-account"
"Finanzkonten","Bank","Bankkonto","Sparkonto","financeaccount","bank","bank-account","saving-account","contract-savings-savings-savingscontract","financeaccount-bank-bank-account-saving-account"
