"Kategorie","Unterkategorie","Unterkategoriegruppe","Gruppentyp","Entity","SubEntity","SubSubEntity","SubSubSubEntity","FormName","FormDefinition"
"Verträge","Arbeitsvertrag","Angestellter","Aufhebungsvertrag","contract","employment","employee","terminationagreement","contract-employment-employee-terminationagreement","contract-employment-employee-terminationagreement"
"Verträge","Arbeitsvertrag","Beamter","Aufhebungsvertrag","contract","employment","official","terminationagreement","contract-employment-official-terminationagreement","contract-employment-official-terminationagreement"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aufhebungsvertrag","contract","employment","publicservice","terminationagreement","contract-employment-publicservice-terminationagreement","contract-employment-publicservice-terminationagreement"
"Verträge","Arbeitsvertrag","Angestellter","Vollzeit","contract","employment","employee","fulltime","contract-employment-employee-fulltime","contract-employment-employee-fulltime"
"Verträge","Arbeitsvertrag","Beamter","Vollzeit","contract","employment","official","fulltime","contract-employment-official-fulltime","contract-employment-official-fulltime"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Vollzeit","contract","employment","publicservice","fulltime","contract-employment-publicservice-fulltime","contract-employment-publicservice-fulltime"
"Verträge","Arbeitsvertrag","Angestellter","Teilzeit","contract","employment","employee","parttime","contract-employment-employee-parttime","contract-employment-employee-parttime"
"Verträge","Arbeitsvertrag","Beamter","Teilzeit","contract","employment","official","parttime","contract-employment-official-parttime","contract-employment-official-parttime"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Teilzeit","contract","employment","publicservice","parttime","contract-employment-publicservice-parttime","contract-employment-publicservice-parttime"
"Verträge","Arbeitsvertrag","Angestellter","Mini","contract","employment","employee","minijob","contract-employment-employee-minijob","contract-employment-employee-minijob"
"Verträge","Arbeitsvertrag","Beamter","Mini","contract","employment","official","minijob","contract-employment-official-minijob","contract-employment-official-minijob"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Mini","contract","employment","publicservice","minijob","contract-employment-publicservice-minijob","contract-employment-publicservice-minijob"
"Verträge","Arbeitsvertrag","Angestellter","Aushilfe","contract","employment","employee","help","contract-employment-employee-help","contract-employment-employee-help"
"Verträge","Arbeitsvertrag","Beamter","Aushilfe","contract","employment","official","help","contract-employment-official-help","contract-employment-official-help"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Aushilfe","contract","employment","publicservice","help","contract-employment-publicservice-help","contract-employment-publicservice-help"
"Verträge","Arbeitsvertrag","Angestellter","Praktikumsvertrag","contract","employment","employee","internship","contract-employment-employee-internship","contract-employment-employee-internship"
"Verträge","Arbeitsvertrag","Beamter","Praktikumsvertrag","contract","employment","official","internship","contract-employment-official-internship","contract-employment-official-internship"
"Verträge","Arbeitsvertrag","öffentlicher Dienst","Praktikumsvertrag","contract","employment","publicservice","internship","contract-employment-publicservice-internship","contract-employment-publicservice-internship"
"Verträge","Versicherung","Kranken","gesetzliche Krankenversicherung","contract","insurance","health","statutoryhealthinsurance","contract-insurance-health-statutoryhealthinsurance","contract-insurance-health-statutoryhealthinsurance"
"Verträge","Versicherung","Kranken","Privat Kranken voll","contract","insurance","health","additionalinsurancefull","contract-insurance-health-additionalinsurancefull","contract-insurance-health-additionalinsurancefull"
"Verträge","Versicherung","Kranken","Privat Zusatz ambulant","contract","insurance","health","additionalinsuranceoutpatient","contract-insurance-health-additionalinsuranceoutpatient","contract-insurance-health-additionalinsuranceoutpatient"
"Verträge","Versicherung","Kranken","Privat Zusatz stationär","contract","insurance","health","additionalinsurancestationary","contract-insurance-health-additionalinsurancestationary","contract-insurance-health-additionalinsurancestationary"
"Verträge","Versicherung","Kranken","Privat Zusatz Zahn","contract","insurance","health","additionalinsuranceteeth","contract-insurance-health-additionalinsuranceteeth","contract-insurance-health-additionalinsuranceteeth"
"Verträge","Versicherung","Kranken","Krankentagegeld","contract","insurance","health","sickpay","contract-insurance-health-sickpay","contract-insurance-health-sickpay"
"Verträge","Versicherung","Kranken","Krankenhaustagegeld","contract","insurance","health","hospitalperdiem","contract-insurance-health-hospitalperdiem","contract-insurance-health-hospitalperdiem"
"Verträge","Versicherung","Kranken","Ausland","contract","insurance","health","abroad","contract-insurance-health-abroad","contract-insurance-health-abroad"
"Verträge","Versicherung","Kranken","Auslandsreise","contract","insurance","health","foreigntravel","contract-insurance-health-foreigntravel","contract-insurance-health-foreigntravel"
"Verträge","Versicherung","Leben","Risiko Lebensversicherung","contract","insurance","life","risklifeinsurance","contract-insurance-life-risklifeinsurance","contract-insurance-life-risklifeinsurance"
"Verträge","Versicherung","Leben","Rentenversicherung klassisch","contract","insurance","life","pensioninsurance","contract-insurance-life-pensioninsurance","contract-insurance-life-pensioninsurance"
"Verträge","Versicherung","Leben","Rentenversicherung Fonds","contract","insurance","life","pensioninsurancefund","contract-insurance-life-pensioninsurancefund","contract-insurance-life-pensioninsurancefund"
"Verträge","Versicherung","Leben","Berufsunfähigkeit","contract","insurance","life","disabilityinsurance","contract-insurance-life-disabilityinsurance","contract-insurance-life-disabilityinsurance"
"Verträge","Versicherung","Leben","Pflegeversicherung","contract","insurance","life","careinsurance","contract-insurance-life-careinsurance","contract-insurance-life-careinsurance"
"Verträge","Versicherung","Leben","Pflegetagegeld","contract","insurance","life","dailycareallowance","contract-insurance-life-dailycareallowance","contract-insurance-life-dailycareallowance"
"Verträge","Versicherung","Sach","Privathaftpflicht","contract","insurance","object","personalliability","contract-insurance-object-personalliability","contract-insurance-object-personalliability"
"Verträge","Versicherung","Sach","Hausrat","contract","insurance","object","householdgoods","contract-insurance-object-householdgoods","contract-insurance-object-householdgoods"
"Verträge","Versicherung","Sach","Haus- und Grundbesitzerhaftpflicht","contract","insurance","object","homeownerliability","contract-insurance-object-homeownerliability","contract-insurance-object-homeownerliability"
"Verträge","Versicherung","Sach","Feuer","contract","insurance","object","fire","contract-insurance-object-fire","contract-insurance-object-fire"
"Verträge","Versicherung","Sach","Elementar (Wohngebäude)","contract","insurance","object","elementary","contract-insurance-object-elementary","contract-insurance-object-elementary"
"Verträge","Versicherung","Sach","Glas","contract","insurance","object","glas","contract-insurance-object-glas","contract-insurance-object-glas"
"Verträge","Versicherung","Sach","Kunst","contract","insurance","object","art","contract-insurance-object-art","contract-insurance-object-art"
"Verträge","Versicherung","Sach","Bauherrenhaftpflicht","contract","insurance","object","buildersliability","contract-insurance-object-buildersliability","contract-insurance-object-buildersliability"
"Verträge","Versicherung","Sach","E-Bike & Pedeleg","contract","insurance","object","ebike","contract-insurance-object-ebike","contract-insurance-object-ebike"
"Verträge","Versicherung","Sach","Photovoltaik","contract","insurance","object","photovoltaic","contract-insurance-object-photovoltaic","contract-insurance-object-photovoltaic"
"Verträge","Versicherung","Sach","Mietausfall","contract","insurance","object","lossofrent","contract-insurance-object-lossofrent","contract-insurance-object-lossofrent"
"Verträge","Versicherung","Sach","Rechtsschutz","contract","insurance","object","legalprotection","contract-insurance-object-legalprotection","contract-insurance-object-legalprotection"
"Verträge","Versicherung","Sach","Umweltschäden","contract","insurance","object","environmentaldamage","contract-insurance-object-environmentaldamage","contract-insurance-object-environmentaldamage"
"Verträge","Versicherung","Sach","Wohngebäude","contract","insurance","object","residentialbuilding","contract-insurance-object-residentialbuilding","contract-insurance-object-residentialbuilding"
"Verträge","Versicherung","Sach","Tierhalterhaftpflicht","contract","insurance","object","animalownerliability","contract-insurance-object-animalownerliability","contract-insurance-object-animalownerliability"
"Verträge","Versicherung","Sach","Tierchirurgie","contract","insurance","object","animalsurgery","contract-insurance-object-animalsurgery","contract-insurance-object-animalsurgery"
"Verträge","Versicherung","Sach","Unfall","contract","insurance","object","accident","contract-insurance-object-accident","contract-insurance-object-accident"
"Verträge","Versicherung","Gewerbe","Gebäude","contract","insurance","business","building","contract-insurance-business-building","contract-insurance-business-building"
"Verträge","Versicherung","Gewerbe","Rechtsschutz","contract","insurance","business","legalprotection","contract-insurance-business-legalprotection","contract-insurance-business-legalprotection"
"Verträge","Versicherung","Gewerbe","D&O Managerhaftpflicht","contract","insurance","business","managerliability","contract-insurance-business-managerliability","contract-insurance-business-managerliability"
"Verträge","Versicherung","KFZ","Motorrad","contract","insurance","car","motorcycle","contract-insurance-car-motorcycle","contract-insurance-car-motorcycle"
"Verträge","Versicherung","KFZ","Auto","contract","insurance","car","car","contract-insurance-car-car","contract-insurance-car-car"
