id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name;created_by
1;Garage;2023-06-13 00:00:00;jaynaApp.contract.group-type.garage;22;contract;;contract-lease-lease-leasecontract;system
2;Parkplatz;2023-06-13 00:00:00;jaynaApp.contract.group-type.parking;22;contract;;contract-lease-lease-leasecontract;system
3;Mini;2023-06-13 00:00:00;jaynaApp.contract.group-type.mini-job;1;contract;;contract-employment-employment-employmentcontract;system
4;Teilzeit;2023-06-13 00:00:00;jaynaApp.contract.group-type.half-time;1;contract;;contract-employment-employment-employmentcontract;system
5;Vollzeit;2023-06-13 00:00:00;jaynaApp.contract.group-type.full-time;1;contract;;contract-employment-employment-employmentcontract;system
6;Aushilfe;2023-06-13 00:00:00;jaynaApp.contract.group-type.help;1;contract;;contract-employment-employment-employmentcontract;system
7;Praktikumsvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.internship;1;contract;;contract-employment-employment-employmentcontract;system
8;Aufhebungsvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.termination-agreement;1;contract;;contract-employment-employment-employmentcontract;system
9;Werkvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.work-contract;1;contract;;contract-employment-employment-employmentcontract;system
10;Mini;2023-06-13 00:00:00;jaynaApp.contract.group-type.mini-job;3;contract;;contract-employment-employment-employmentcontract;system
11;Teilzeit;2023-06-13 00:00:00;jaynaApp.contract.group-type.half-time;3;contract;;contract-employment-employment-employmentcontract;system
12;Vollzeit;2023-06-13 00:00:00;jaynaApp.contract.group-type.full-time;3;contract;;contract-employment-employment-employmentcontract;system
13;Aushilfe;2023-06-13 00:00:00;jaynaApp.contract.group-type.help;3;contract;;contract-employment-employment-employmentcontract;system
14;Praktikumsvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.internship;3;contract;;contract-employment-employment-employmentcontract;system
15;Aufhebungsvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.termination-agreement;3;contract;;contract-employment-employment-employmentcontract;system
16;Werkvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.work-contract;3;contract;;contract-employment-employment-employmentcontract;system
