id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name
1;Garage;2023-06-13 00:00:00;jaynaApp.group-type.garage;22;;;
2;Parkplatz;2023-06-13 00:00:00;jaynaApp.group-type.parking;22;;;
3;Mini;2023-06-13 00:00:00;jaynaApp.group-type.mini-job;1;contract;;employment-contract
4;Teilzeit;2023-06-13 00:00:00;jaynaApp.group-type.half-time;1;contract;;employment-contract
5;Vollzeit;2023-06-13 00:00:00;jaynaApp.group-type.full-time;1;contract;;employment-contract
6;Aushilfe;2023-06-13 00:00:00;jaynaApp.group-type.help;1;contract;;employment-contract
7;Praktikumsvertrag;2023-06-13 00:00:00;jaynaApp.group-type.internship;1;contract;;employment-contract
8;Aufhebungsvertrag;2023-06-13 00:00:00;jaynaApp.group-type.termination-agreement;1;contract;;employment-contract
9;Werkvertrag;2023-06-13 00:00:00;jaynaApp.group-type.work-contract;1;contract;;employment-contract
10;Mini;2023-06-13 00:00:00;jaynaApp.group-type.mini-job;3;contract;;employment-contract
11;Teilzeit;2023-06-13 00:00:00;jaynaApp.group-type.half-time;3;contract;;employment-contract
12;Vollzeit;2023-06-13 00:00:00;jaynaApp.group-type.full-time;3;contract;;employment-contract
13;Aushilfe;2023-06-13 00:00:00;jaynaApp.group-type.help;3;contract;;employment-contract
14;Praktikumsvertrag;2023-06-13 00:00:00;jaynaApp.group-type.internship;3;contract;;employment-contract
15;Aufhebungsvertrag;2023-06-13 00:00:00;jaynaApp.group-type.termination-agreement;3;contract;;employment-contract
16;Werkvertrag;2023-06-13 00:00:00;jaynaApp.group-type.work-contract;3;contract;;employment-contract
17;Strom;2023-06-13 00:00:00;jaynaApp.group-type.electricity;7;;;
18;Kabelfernsehen;2023-06-13 00:00:00;jaynaApp.group-type.cable-tv;18;;;
19;Satellitenfernsehen;2023-06-13 00:00:00;jaynaApp.group-type.satellite-tv;18;;;
20;Bafög;2023-06-13 00:00:00;jaynaApp.group-type.student-loans;31;contract;;loan-credit-contract
21;Couch;2023-06-13 00:00:00;jaynaApp.group-type.coffee-table;12;;;
22;Tisch;2023-06-13 00:00:00;jaynaApp.group-type.table;12;;;
23;Handy;2023-06-13 00:00:00;jaynaApp.group-type.mobile;11;;;
24;Fernseher;2023-06-13 00:00:00;jaynaApp.group-type.tv;11;;;
25;Gebäude;2023-06-13 00:00:00;jaynaApp.group-type.building;30;;;
26;D&O Managerhaftpflicht;2023-06-13 00:00:00;jaynaApp.group-type.manager-liability;30;;;
27;Rechtsschutz;2023-06-13 00:00:00;jaynaApp.group-type.legal-protection;30;;;
28;Gas;2023-06-13 00:00:00;jaynaApp.group-type.gas;9;;;
29;Fernwärme;2023-06-13 00:00:00;jaynaApp.group-type.district-heating;9;;;
30;Öl;2023-06-13 00:00:00;jaynaApp.group-type.oil;9;;;
31;Annuitätendarlehen;2023-06-13 00:00:00;jaynaApp.group-type.annuity-loan;4;contract;;loan-credit-contract
32;Modernisierung;2023-06-13 00:00:00;jaynaApp.group-type.modernization;4;contract;;loan-credit-contract
33;Tilgungsdarlehen;2023-06-13 00:00:00;jaynaApp.group-type.amortization-loan;4;contract;;loan-credit-contract
