id;name;translation_key
1;Garage;jaynaApp.group-type.garage
2;Parkplatz;jaynaApp.group-type.parking
3;Mini;jaynaApp.group-type.mini-job
4;Teilzeit;jaynaApp.group-type.half-time
5;Vollzeit;jaynaApp.group-type.full-time
6;Aushilfe;jaynaApp.group-type.help
7;Praktikumsvertrag;jaynaApp.group-type.internship
8;Aufhebungsvertrag;jaynaApp.group-type.termination-agreement
9;Werkvertrag;jaynaApp.group-type.work-contract
10;Mini;jaynaApp.group-type.mini-job
11;Teilzeit;jaynaApp.group-type.half-time
12;Vollzeit;jaynaApp.group-type.full-time
13;Aushilfe;jaynaApp.group-type.help
14;Praktikumsvertrag;jaynaApp.group-type.internship
15;Aufhebungsvertrag;jaynaApp.group-type.termination-agreement
16;Werkvertrag;jaynaApp.group-type.work-contract
17;Strom;jaynaApp.group-type.electricity
18;Kabelfernsehen;jaynaApp.group-type.cable-tv
19;Satellitenfernsehen;jaynaApp.group-type.satellite-tv
20;Bafög;jaynaApp.group-type.student-loans
21;Couch;jaynaApp.group-type.coffee-table
22;Tisch;jaynaApp.group-type.table
23;Handy;jaynaApp.group-type.mobile
24;Fernseher;jaynaApp.group-type.tv
25;Gebäude;jaynaApp.group-type.building
26;D&O Managerhaftpflicht;jaynaApp.group-type.manager-liability
27;Rechtsschutz;jaynaApp.group-type.legal-protection
28;Gas;jaynaApp.group-type.gas
29;Fernwärme;jaynaApp.group-type.district-heating
30;Öl;jaynaApp.group-type.oil
31;Annuitätendarlehen;jaynaApp.group-type.annuity-loan
32;Modernisierung;jaynaApp.group-type.modernization
33;Tilgungsdarlehen;jaynaApp.group-type.amortization-loan
34;Laufzeitzinsdarlehen;jaynaApp.group-type.term-loan
35;Partiarische Darlehen;jaynaApp.group-type.participatory-loans
36;Abrufdarlehen;jaynaApp.group-type.call-loan
37;Rollierende Geldmarktdarlehen;jaynaApp.group-type.rolling-market-loans
38;Endfällige Darlehen;jaynaApp.group-type.bullet-loans
39;Wohnung;jaynaApp.group-type.apartment
40;Haus;jaynaApp.group-type.house
41;Ferienwohnung;jaynaApp.group-type.holiday-apartment
42;Ferienhaus;jaynaApp.group-type.holiday-house
43;Raum;jaynaApp.group-type.room
44;Gebäude;jaynaApp.group-type.building
45;DSL;jaynaApp.group-type.broadband
46;Glasfaser;jaynaApp.group-type.glass-fiber
47;Auto;jaynaApp.group-type.car
48;Motorrad;jaynaApp.group-type.motorcycle
49;Auto;jaynaApp.group-type.car
50;Wohnwagen;jaynaApp.group-type.caravan
51;Motorboot;jaynaApp.group-type.boat
52;Auto;jaynaApp.group-type.car
53;Auto;jaynaApp.group-type.car
54;Wohnmobil;jaynaApp.group-type.camper
55;Motorrad;jaynaApp.group-type.motorcycle
56;Wohnwagen;jaynaApp.group-type.caravan
57;Wohnmobil;jaynaApp.group-type.camper
58;Traktor;jaynaApp.group-type.tractor
59;gesetzliche Krankenversicherung;jaynaApp.group-type.statutory-health-insurance
60;Ausland;jaynaApp.group-type.abroad
61;Privat Zusatz Zahn;jaynaApp.group-type.additional-insurance-teeth
62;Privat Zusatz stationär;jaynaApp.group-type.additional-insurance-stationary
63;Privat Zusatz ambulant;jaynaApp.group-type.additional-insurance-outpatient
64;Privat Kranken voll;jaynaApp.group-type.additional-insurance-full
65;Krankentagegeld;jaynaApp.group-type.sick-pay
66;Krankenhaustagegeld;jaynaApp.group-type.hospital-per-diem
