id;name;sub_category_group_id;form_component_name;update_component_name
118;Ackerland;39;PropertyCreate;PropertyUpdate
119;Garten;40;PropertyCreate;PropertyUpdate
120;Schrebergarten;40;PropertyCreate;PropertyUpdate
121;Gewerbeeinheit;32;PropertyCreate;PropertyUpdate
122;Gewerbehaus;32;PropertyCreate;PropertyUpdate
123;Grundstück;41;PropertyCreate;PropertyUpdate
124;Wiese;41;PropertyCreate;PropertyUpdate
125;Halle;34;PropertyCreate;PropertyUpdate
126;Doppelhaushälfte;35;PropertyCreate;PropertyUpdate
127;Einfamilienhaus;35;PropertyCreate;PropertyUpdate
128;Ferienhaus;35;PropertyCreate;PropertyUpdate
129;Mehrfamilienhaus;35;PropertyCreate;PropertyUpdate
130;Pflegeeinrichtung;35;PropertyCreate;PropertyUpdate
131;Reihenendhaus;35;PropertyCreate;PropertyUpdate
132;Reihenmittelhaus;35;PropertyCreate;PropertyUpdate
133;Zweifamilienhaus;35;PropertyCreate;PropertyUpdate
134;Wohnungen & Gewerbe;33;PropertyCreate;PropertyUpdate
135;Gartenhaus;38;PropertyCreate;PropertyUpdate
136;Wintergarten;38;PropertyCreate;PropertyUpdate
137;Sauna;38;PropertyCreate;PropertyUpdate
138;Carport;37;PropertyCreate;PropertyUpdate
139;Garage;37;PropertyCreate;PropertyUpdate
140;Parkplatz;37;PropertyCreate;PropertyUpdate
141;Parkhaus;37;PropertyCreate;PropertyUpdate
142;Ferienwohnung;36;PropertyCreate;PropertyUpdate
143;Pflegeappartement;36;PropertyCreate;PropertyUpdate
144;Wohnung;36;PropertyCreate;PropertyUpdate
