id;name;sub_category_group_id;form_component_name
3;Mini;1;EmploymentContractUpdate
4;Teilzeit;1;EmploymentContractUpdate
5;Vollzeit;1;EmploymentContractUpdate
6;Aushilfe;1;EmploymentContractUpdate
7;Praktikumsvertrag;1;EmploymentContractUpdate
8;Aufhebungsvertrag;1;EmploymentContractUpdate
9;Werkvertrag;1;EmploymentContractUpdate
10;Mini;3;EmploymentContractUpdate
11;Teilzeit;3;EmploymentContractUpdate
12;Vollzeit;3;EmploymentContractUpdate
13;Aushilfe;3;EmploymentContractUpdate
14;Praktikumsvertrag;3;EmploymentContractUpdate
15;Aufhebungsvertrag;3;EmploymentContractUpdate
16;Werkvertrag;3;EmploymentContractUpdate
79;Mini;2;EmploymentContractUpdate
80;Teilzeit;2;EmploymentContractUpdate
81;Vollzeit;2;EmploymentContractUpdate
82;Aushilfe;2;EmploymentContractUpdate
83;Praktikumsvertrag;2;EmploymentContractUpdate
84;Aufhebungsvertrag;2;EmploymentContractUpdate
85;Werkvertrag;2;EmploymentContractUpdate
