id;name;created_date;translation_key;category_id;created_by
1;Arbeitsvertrag;2023-06-13 00:00:00;jaynaApp.contract.sub-category.employment-contract;1;system
2;Bankkonto;2023-06-13 00:00:00;jaynaApp.contract.sub-category.bank-account;1;system
3;Kreditkarte;2023-06-13 00:00:00;jaynaApp.contract.sub-category.credit-card;1;system
4;Darlehen;2023-06-13 00:00:00;jaynaApp.contract.sub-category.loan;1;system
5;Dienstleistung;2023-06-13 00:00:00;jaynaApp.contract.sub-category.service;1;system
6;Energie;2023-06-13 00:00:00;jaynaApp.contract.sub-category.energy;1;system
7;Kaufvertrag;2023-06-13 00:00:00;jaynaApp.contract.sub-category.purchase-contract;1;system
8;Kredit;2023-06-13 00:00:00;jaynaApp.contract.sub-category.credit;1;system
9;Leasing;2023-06-13 00:00:00;jaynaApp.contract.sub-category.leasing;1;system
10;Leihvertrag;2023-06-13 00:00:00;jaynaApp.contract.sub-category.loan-agreement;1;system
11;Medien;2023-06-13 00:00:00;jaynaApp.contract.sub-category.media;1;system
12;Mietvertrag;2023-06-13 00:00:00;jaynaApp.contract.sub-category.rental-contract;1;system
13;Versicherung;2023-06-13 00:00:00;jaynaApp.contract.sub-category.insurance;1;system
14;Hausverwaltung;2023-06-13 00:00:00;jaynaApp.contract.sub-category.property-management;1;system
15;Mietverwaltung;2023-06-13 00:00:00;jaynaApp.contract.sub-category.rental-management;1;system
16;mit Bebauung;2023-06-13 00:00:00;jaynaApp.realestate.sub-category.with-development;2;system
17;ohne Bebauung;2023-06-13 00:00:00;jaynaApp.realestate.sub-category.without-development;2;system
18;Bank;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category.bank;4;system
19;Kredit;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category.credit;4;system
20;Systeme;2023-06-13 00:00:00;jaynaApp.financeaccount.sub-category.systems;4;system
21;Kontakte;2023-06-13 00:00:00;jaynaApp.contact.sub-category.contact;3;system
22;Boot;2023-06-13 00:00:00;jaynaApp.mobility.sub-category.boat;5;system
23;Fahrrad;2023-06-13 00:00:00;jaynaApp.mobility.sub-category.bike;5;system
24;Landwirtschaft;2023-06-13 00:00:00;jaynaApp.mobility.sub-category.agriculture;5;system
25;Nutzfahrzeug;2023-06-13 00:00:00;jaynaApp.mobility.sub-category.commercial-vehicle;5;system
26;Personenfahrzeug;2023-06-13 00:00:00;jaynaApp.mobility.sub-category.passenger-vehicle;5;system
27;Scooter;2023-06-13 00:00:00;jaynaApp.mobility.sub-category.scooter;5;system
