id;name;created_date;translation_key;sub_category_id;created_by
1;Angestellter;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.employee;1;system
2;öffentlicher Dienst;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.public-service;1;system
3;Beamter;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.official;1;system
4;Immobilie;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.realestate;4;system
5;Service;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.service;5;system
6;Wartung;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.maintenance;5;system
7;Elektrik;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.electric;6;system
8;Photovoltaik;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.photovoltaic;6;system
9;Heizen;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.heating;6;system
10;KFZ;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.car;7;system
11;Geräte;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.devices;7;system
12;Gegenstände;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.objects;7;system
13;Immobilie;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.realestate;7;system
14;KFZ;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.car;8;system
15;Kredit;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.credit;8;system
16;KFZ;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.car;9;system
17;Geräte;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.devices;10;system
18;Fernsehen;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.television;11;system
19;Internet;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.internet;11;system
20;Mobilfunk;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.cellular;11;system
21;Streaming;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.streaming;11;system
22;Abstellplatz;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.put-down-space;12;system
23;Immobilie;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.realestate;12;system
24;KFZ;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.car;12;system
25;Wohnen;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.reside;12;system
26;KFZ;2023-06-13 00:00:00;jaynaApp.contract.sub-category-group.car;13;system
