id;name;sub_category_id;translation_key
1;Angestellter;1;jaynaApp.sub-category-group.employee
2;öffentlicher Dienst;1;jaynaApp.sub-category-group.public-service
3;Beamter;1;jaynaApp.sub-category-group.official
4;Immobilie;4;jaynaApp.sub-category-group.real-estate
5;Service;5;jaynaApp.sub-category-group.service
6;Wartung;5;jaynaApp.sub-category-group.maintenance
7;Elektrik;6;jaynaApp.sub-category-group.electric
8;Photovoltaik;6;jaynaApp.sub-category-group.photovoltaic
9;Heizen;6;jaynaApp.sub-category-group.heating
10;KFZ;7;jaynaApp.sub-category-group.car
11;Geräte;7;jaynaApp.sub-category-group.devices
12;Gegenstände;7;jaynaApp.sub-category-group.objects
13;Immobilie;7;jaynaApp.sub-category-group.real-estate
14;KFZ;8;jaynaApp.sub-category-group.car
15;Kredit;8;jaynaApp.sub-category-group.credit
16;KFZ;9;jaynaApp.sub-category-group.car
17;Geräte;10;jaynaApp.sub-category-group.devices
18;Fernsehen;11;jaynaApp.sub-category-group.television
19;Internet;11;jaynaApp.sub-category-group.internet
20;Mobilfunk;11;jaynaApp.sub-category-group.cellular
21;Streaming;11;jaynaApp.sub-category-group.streaming
22;Abstellplatz;12;jaynaApp.sub-category-group.put-down-space
23;Immobilie;12;jaynaApp.sub-category-group.real-estate
24;KFZ;12;jaynaApp.sub-category-group.car
25;Wohnen;12;jaynaApp.sub-category-group.reside
26;KFZ;13;jaynaApp.sub-category-group.car
27;Kranken;13;jaynaApp.sub-category-group.health
28;Leben;13;jaynaApp.sub-category-group.life
29;Sach;13;jaynaApp.sub-category-group.object
30;Gewerbe;13;jaynaApp.sub-category-group.business
31;Förderung;4;jaynaApp.sub-category-group.support
32;Gewerbehaus;16;jaynaApp.sub-category-group.commercial-building
33;Halle;16;jaynaApp.sub-category-group.hall
34;Wohnhaus;16;jaynaApp.sub-category-group.residential-building
35;Wohn + Gewerbehaus;16;jaynaApp.sub-category-group.commercial-residential-building
36;Parkfläche;16;jaynaApp.sub-category-group.parking-space
37;Bewirtschaftung;16;jaynaApp..sub-category-group.farmland
38;Garten;16;jaynaApp.sub-category-group.garden
39;Grund;17;jaynaApp.sub-category-group.ground
